Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-09-26,Huamak,Train,1.233751058822905,-0.7122868459590729,0.7818314824680298,1.1640903559460853,1.1866809516373906,0.840486701725339,1.0331063892384633,0.8725435863707796,0.8981658803155158,1.0
2023-09-27,Huamak,Train,1.0781785706938811,-1.9215621170613575,0.9749279121818236,1.1386584821563248,0.9705510442647078,0.8230197521682661,0.9880741514792494,0.8842796079051054,0.9327433397749418,1.0
2023-09-28,Huamak,Train,0.9809457656132413,-1.0992549327118026,0.43388373911755823,1.0936636285282868,1.2026905744057375,0.8037547342744357,0.9395734532284145,0.9078806182433651,0.9771979119627447,1.0
2023-09-29,Huamak,Train,1.198881363207779,-0.9057708893354377,-0.433883739117558,1.3395050751626385,1.3307675565525126,0.7830769484017245,0.8906404577431123,0.8679007646648917,0.8860195427402825,1.0
2023-09-30,Huamak,Train,-0.11141450663753345,-0.9541419001795298,-0.9749279121818236,-0.5144133141781091,-0.42362027181216555,0.7693345689707927,0.8378955480084033,0.8450735579442802,0.8091009968130666,0.0
2023-10-01,Huamak,Train,-0.6478713622548569,0.11002033839048198,-0.7818314824680299,-0.8600259579876751,-0.7658259584855799,0.8567977502087817,0.40721920344948975,0.9094282254786604,0.47944093741772115,0.0
2023-10-02,Huamak,Train,1.1646822386621747,-0.4220607808945239,0.0,0.9710689548750824,1.075947727489658,0.8795304713235018,0.21265284171116258,0.936769286635552,0.25261814571868646,1.0
2023-10-03,Huamak,Train,1.2806910336894208,-0.035092694141794244,0.7818314824680298,1.0754048473458948,1.2473841046340393,0.8871080450284086,0.22830133890056276,0.9566302461551804,0.3034715763596575,1.0
2023-10-04,Huamak,Train,1.0446500172177986,-0.5671738134267984,0.9749279121818236,1.040843582964938,1.0926244178733528,0.8805579389445058,0.2120666906749688,0.9656579550277389,0.33361001717697086,1.0
2023-10-05,Huamak,Train,0.8857246737411665,-1.0992549327118026,0.43388373911755823,0.988675636729532,0.9958996136479238,0.867329293324076,0.18267462031693374,0.9592095915473403,0.31975273703949225,1.0
2023-10-06,Huamak,Train,1.059402580747275,-1.0508839218677122,-0.433883739117558,1.2697304470727828,1.2126965886359544,0.8556418491351524,0.15935274225907173,0.9408962392630071,0.2933528225644364,1.0
2023-10-07,Huamak,Train,-0.29716269289503167,-0.7122868459590729,-0.9749279121818236,-0.07033367184921382,-0.09075353175362015,0.8311110596836748,0.06972764129270367,0.9140710471845482,0.21930757864070805,0.0
2023-10-08,Huamak,Train,-0.8021027082448373,-0.8090288676472553,-0.7818314824680299,-0.7446043769418389,-0.6244076240318492,0.7997732972430439,0.21526421487599856,0.8783471135031378,0.4044438017902131,0.0
2023-10-09,Huamak,Train,0.9775929102656331,-0.5188028025827064,0.0,1.0095428152236945,1.1786761402532173,0.7757562416020692,0.41277751025954745,0.8486846414933036,0.6350659408244917,1.0
2023-10-10,Huamak,Train,1.1358476826727435,-0.9541419001795298,0.7818314824680298,1.0421477816208233,1.2940788377083843,0.7701051696865453,0.3988277885448187,0.8127027732726777,0.5405951791714522,1.0
