Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,day_cos,Passenger_Arrival_Lag7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-01-15,Huamak,Train,2929.0,-662.0,0.6234898018587334,3353.0,1136.11160166093,4969.0,1153.4136291894567,0.0
2023-01-16,Huamak,Train,5312.0,2383.0,1.0,5805.0,1294.4561093554357,4955.428571428572,1180.3575527698997,1.0
2023-01-17,Huamak,Train,5783.0,471.0,0.6234898018587336,5975.0,1270.3881109255333,4903.0,1150.6382286945484,1.0
2023-01-18,Huamak,Train,5821.0,38.0,-0.22252093395631434,5831.0,1272.797687136862,4907.142857142857,1154.2594203747283,1.0
2023-01-19,Huamak,Train,5501.0,-320.0,-0.900968867902419,5895.0,1293.4824349498535,4914.571428571428,1160.878956817181,1.0
2023-01-20,Huamak,Train,5809.0,308.0,-0.9009688679024191,6000.0,1289.5800349984715,4906.285714285715,1155.708255325956,1.0
2023-01-21,Huamak,Train,3160.0,-2649.0,-0.2225209339563146,3837.0,1285.2921661555963,4963.714285714285,1194.0869195450412,0.0
2023-01-22,Huamak,Train,2880.0,-280.0,0.6234898018587334,2809.0,1391.8521062649863,4902.142857142857,1284.365268471994,0.0
2023-01-23,Huamak,Train,5370.0,2490.0,1.0,5413.0,1389.9761217544753,4895.142857142857,1296.9830927414348,1.0
2023-01-24,Huamak,Train,5567.0,197.0,0.6234898018587336,5996.0,1400.074249731741,4903.428571428572,1300.2711072622305,1.0
2023-01-25,Huamak,Train,5666.0,99.0,-0.22252093395631434,6029.0,1379.90524174324,4872.571428571428,1278.296112949166,1.0
2023-01-26,Huamak,Train,5652.0,-14.0,-0.900968867902419,5854.0,1342.7246464523057,4850.428571428572,1260.345568636216,1.0
2023-01-27,Huamak,Train,5846.0,194.0,-0.9009688679024191,5961.0,1343.6880661253238,4872.0,1274.548416760486,1.0
2023-01-28,Huamak,Train,3583.0,-2263.0,-0.2225209339563146,3278.0,1353.0552728652901,4877.285714285715,1279.150331833036,0.0
2023-01-29,Huamak,Train,2876.0,-707.0,0.6234898018587334,2816.0,1265.913560578737,4937.714285714285,1191.4904831464519,0.0
2023-01-30,Huamak,Train,5650.0,2774.0,1.0,5603.0,1235.863376637676,4937.142857142857,1192.6422247222636,1.0
2023-01-31,Huamak,Train,5775.0,125.0,0.6234898018587336,5794.0,1237.498244346996,4977.142857142857,1214.0821538061048,1.0
2023-02-01,Huamak,Train,5834.0,59.0,-0.22252093395631434,5660.0,1256.0951965743423,5006.857142857143,1233.3178055650553,1.0
2023-02-02,Huamak,Train,5303.0,-531.0,-0.900968867902419,5863.0,1277.7711621636854,5030.857142857143,1249.8067088649361,1.0
2023-02-03,Huamak,Train,5702.0,399.0,-0.9009688679024191,6037.0,1273.0786456834594,4981.0,1227.6633631958427,1.0
2023-02-04,Huamak,Train,3686.0,-2016.0,-0.2225209339563146,3723.0,1282.267374242834,4960.428571428572,1211.8579203221857,0.0
2023-02-05,Huamak,Train,3052.0,-634.0,0.6234898018587334,2918.0,1253.7946023021066,4975.142857142857,1192.8216447526722,0.0
2023-02-06,Huamak,Train,5643.0,2591.0,1.0,5626.0,1243.0151322681522,5000.285714285715,1141.9714991022756,1.0
2023-02-07,Huamak,Train,5681.0,38.0,0.6234898018587336,5972.0,1255.0684860842844,4999.285714285715,1141.31060836299,1.0
2023-02-08,Huamak,Train,5806.0,125.0,-0.22252093395631434,5912.0,1249.0632299371177,4985.857142857143,1131.1704010406522,1.0
