Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday,holiday_category_Weekend
2022-04-09,Ramkhamhaeng,Train,2297.0,173.0,0.0,34.2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,2662.0,2720.0,3131.5714285714284,730.5586577277377,3202.8571428571427,653.7462373560116,0.0,1.0
2022-04-10,Ramkhamhaeng,Train,1984.0,163.0,0.0,34.3,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,2011.0,2304.0,3075.5714285714284,785.5095707337289,3142.4285714285716,721.8228908217621,0.0,1.0
2022-04-11,Ramkhamhaeng,Train,3017.0,135.0,6.0,33.4,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,3623.0,3803.0,3065.5714285714284,801.6017001692842,3096.714285714286,790.625852154632,1.0,0.0
2022-04-12,Ramkhamhaeng,Train,2714.0,137.0,1.9,33.7,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,3752.0,3702.0,2965.1428571428573,763.2447026940162,2984.4285714285716,726.8417657103588,1.0,0.0
2022-04-13,Ramkhamhaeng,Train,1581.0,99.0,0.4,35.0,1,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,2465.0,2528.0,2832.4285714285716,679.831316612893,2843.285714285714,656.8317172319744,0.0,0.0
2022-04-14,Ramkhamhaeng,Train,1521.0,100.0,0.0,36.5,1,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,3707.0,3670.0,2723.0,799.8810328209232,2708.0,811.8304420669787,0.0,0.0
2022-04-15,Ramkhamhaeng,Train,1846.0,108.0,0.0,36.4,1,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,3701.0,3693.0,2392.5714285714284,803.384685179492,2401.0,793.5357584885504,0.0,0.0
2022-04-16,Ramkhamhaeng,Train,2029.0,101.0,0.0,36.3,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,2270.0,2297.0,2069.8571428571427,623.8523940194566,2137.1428571428573,567.0994705726749,0.0,1.0
2022-04-17,Ramkhamhaeng,Train,2192.0,93.0,7.4,32.8,1,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1941.0,1984.0,1968.0,643.6215243966474,2098.8571428571427,563.5439730170203,0.0,1.0
2022-04-18,Ramkhamhaeng,Train,3690.0,93.0,31.2,30.7,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,2920.0,3017.0,1916.142857142857,660.5602239946081,2128.5714285714284,561.9599206179663,1.0,0.0
