Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-01-03,Suvarnabhumi,Train,-0.25135687613890356,0.7818314824680298,0.02896997772435256,0.11478416444788055,0.05020452416600571,-0.1445143072050886,-0.3243184507778751,1.0
2023-01-04,Suvarnabhumi,Train,0.05617848212220799,0.9749279121818236,0.025850964498240658,-0.07776304765468536,0.03368517214600773,-0.19489581038876158,-0.6390623407135395,1.0
2023-01-05,Suvarnabhumi,Train,0.1865245942328778,0.43388373911755823,0.21888322749205516,-0.02882396457861653,0.0693050249391276,-0.17181668024086844,-0.3913828843053125,1.0
2023-01-06,Suvarnabhumi,Train,-0.15604128165797626,-0.433883739117558,0.48850459303817306,0.12160354487651309,0.1446745685303678,-0.13696005584224677,0.052818400157648646,1.0
2023-01-07,Suvarnabhumi,Train,0.13357148618791817,-0.9749279121818236,0.12219381748258613,-0.42555144951494506,0.1717766304381767,-0.1744339011854746,-0.2225343400294025,0.0
2023-01-08,Suvarnabhumi,Train,-0.0806849355939953,-0.7818314824680299,-0.38724500944902485,-0.32446416316109794,0.24977894575760387,-0.0884819860728333,-0.3174122515843887,0.0
2023-01-09,Suvarnabhumi,Train,0.3918197208071827,0.0,-0.09648366537037069,-0.2851524406901574,0.33299518155834257,-0.04880729584436847,-0.6564245697365083,1.0
2023-01-10,Suvarnabhumi,Train,0.22236977506331196,0.7818314824680298,-0.0819282703151818,-0.22498143690810557,0.38487627149614845,0.05403759081982352,-0.3335448528088555,1.0
2023-01-11,Suvarnabhumi,Train,0.13764480219137662,0.9749279121818236,0.2649753118334866,0.07787928212822208,0.4336599829302044,0.12321549896930593,-0.7228573091656088,1.0
2023-01-12,Suvarnabhumi,Train,0.4667687352708178,0.43388373911755823,0.7248564841724306,0.20624409019659937,0.4197734026383934,0.13511195780842622,-0.7366270784890857,1.0
2023-01-13,Suvarnabhumi,Train,0.21463047465674095,-0.433883739117558,0.6704470312280341,-0.13111467100810467,0.40820985622439493,0.17603577621499863,-0.2549953578999318,1.0
2023-01-14,Suvarnabhumi,Train,-0.1478946496510594,-0.9749279121818236,0.6458414824442624,0.1540958869188211,0.36340111387015095,0.2301646639329944,-0.7939339568686566,0.0
2023-01-15,Suvarnabhumi,Train,-0.283943404166571,-0.7818314824680299,0.1714049150501295,-0.05690376634357406,0.3004210842939095,0.1890623986438355,-0.2709271811963837,0.0
2023-01-16,Suvarnabhumi,Train,0.10505827416370916,0.0,0.25180614487879194,0.4084186629042936,0.2645947396005394,0.1593807338402307,0.25386921507831917,1.0
2023-01-17,Suvarnabhumi,Train,0.056993145322899674,0.7818314824680298,0.24556811842656812,0.24154441241540311,0.26154898407185195,0.1175051987265289,-0.008152395810640693,1.0
2023-01-18,Suvarnabhumi,Train,0.41055697442309147,0.9749279121818236,0.17175147207525304,0.15810728717095787,0.2630460503486648,0.09335538728311539,-0.07090283048464299,1.0
2023-01-19,Suvarnabhumi,Train,0.2651395930996255,0.43388373911755823,0.6472277105447566,0.4822284275436105,0.3259744569498438,0.1332085243941667,0.28022881748605194,1.0
2023-01-20,Suvarnabhumi,Train,0.3938563788089119,-0.433883739117558,0.3696355334207972,0.2339227519363432,0.29298737588491025,0.10376478876734535,-0.10952573260796646,1.0
