Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,Passenger_Arrival_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_National Holiday,holiday_category_Special Public Holiday,holiday_category_Weekday,holiday_category_Weekend
2024-07-19,Huamak,Test,7115.0,-32.0,48.0,6.7,30.2,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,6998.0,6946.0,6120.142857142857,1334.9194018830433,6110.714285714285,1271.2097537759846,0.0,0.0,1.0,0.0
2024-07-20,Huamak,Test,4158.0,-2957.0,50.0,15.5,30.5,1,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,4507.0,4477.0,6136.857142857143,1348.4071378941085,6125.285714285715,1282.910845731378,0.0,0.0,0.0,0.0
2024-07-21,Huamak,Test,3661.0,-497.0,59.0,17.2,31.1,1,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,3894.0,4044.0,6087.0,1423.0982631802483,6076.857142857143,1359.6079617021123,0.0,0.0,0.0,0.0
2024-07-22,Huamak,Test,3783.0,122.0,67.0,5.9,31.1,1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,6564.0,6777.0,6053.714285714285,1484.347411523061,6042.571428571428,1421.052761997568,0.0,0.0,0.0,0.0
2024-07-23,Huamak,Test,6848.0,3065.0,69.0,15.9,31.9,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,6844.0,6881.0,5656.428571428572,1683.7766931457775,5637.571428571428,1572.746308970691,0.0,0.0,1.0,0.0
2024-07-24,Huamak,Test,7175.0,327.0,44.0,1.4,29.8,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,6887.0,6817.0,5657.0,1684.2475075435452,5642.428571428572,1577.2724196264467,0.0,0.0,1.0,0.0
2024-07-25,Huamak,Test,7229.0,54.0,51.0,5.2,29.4,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,7147.0,6833.0,5698.142857142857,1722.3875317488184,5664.428571428572,1597.3324489225563,0.0,0.0,1.0,0.0
2024-07-26,Huamak,Test,7337.0,108.0,58.0,6.8,29.5,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,7115.0,7048.0,5709.857142857143,1734.1226819894991,5703.0,1633.112570114701,0.0,0.0,1.0,0.0
2024-07-27,Huamak,Test,4345.0,-2992.0,54.0,29.5,31.8,1,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,4158.0,4138.0,5741.571428571428,1765.8433166755185,5726.285714285715,1656.4813827594162,0.0,0.0,0.0,1.0
2024-07-28,Huamak,Test,4029.0,-316.0,45.0,15.7,28.9,1,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,3661.0,3804.0,5768.285714285715,1739.105777335548,5774.142857142857,1607.0482702324523,1.0,0.0,0.0,0.0
2024-07-29,Huamak,Test,3527.0,-502.0,25.0,41.2,30.6,1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,3783.0,3942.0,5820.857142857143,1668.9342336324855,5806.285714285715,1562.7141681793712,0.0,0.0,0.0,0.0
2024-07-30,Huamak,Test,7120.0,3593.0,50.0,4.6,30.2,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,6848.0,6915.0,5784.285714285715,1722.9628274463385,5768.0,1618.2950905196412,0.0,0.0,1.0,0.0
2024-07-31,Huamak,Test,7287.0,167.0,50.0,4.1,29.9,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,7175.0,6971.0,5823.142857142857,1753.7427052422636,5794.714285714285,1641.7584794243878,0.0,0.0,1.0,0.0
2024-08-01,Huamak,Test,7258.0,-29.0,52.0,7.3,29.9,0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,7229.0,7103.0,5839.142857142857,1768.5798849709292,5812.571428571428,1657.2914506449747,0.0,0.0,1.0,0.0
2024-08-02,Huamak,Test,7216.0,-42.0,67.0,3.7,30.7,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,7337.0,7211.0,5843.285714285715,1772.408033748215,5813.0,1657.6811112715977,0.0,0.0,1.0,0.0
2024-08-03,Huamak,Test,4826.0,-2390.0,60.0,7.7,31.4,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,4345.0,4473.0,5826.0,1755.9257767153226,5793.571428571428,1639.2598794519818,0.0,0.0,0.0,1.0
2024-08-04,Huamak,Test,3922.0,-904.0,57.0,8.1,31.5,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,4029.0,4029.0,5894.714285714285,1696.7242669612563,5873.571428571428,1576.5361669540778,0.0,0.0,0.0,1.0
2024-08-05,Huamak,Test,7284.0,3362.0,48.0,10.4,31.2,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,3527.0,3674.0,5879.428571428572,1716.6981735435013,5905.428571428572,1534.749909827088,0.0,0.0,1.0,0.0
2024-08-06,Huamak,Test,7343.0,59.0,61.0,5.7,32.1,0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,7120.0,7102.0,6416.142857142857,1420.3744140861047,6415.428571428572,1233.1898822623532,0.0,0.0,1.0,0.0
2024-08-07,Huamak,Test,7339.0,-4.0,53.0,6.2,31.3,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,7287.0,7096.0,6448.0,1441.141098805608,6452.285714285715,1260.6790120520452,0.0,0.0,1.0,0.0
2024-08-08,Huamak,Test,7365.0,26.0,65.0,0.1,31.8,0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,7258.0,7106.0,6455.428571428572,1446.311383847748,6489.571428571428,1286.4860223547842,0.0,0.0,1.0,0.0
2024-08-09,Huamak,Test,7624.0,259.0,57.0,0.9,33.5,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,7216.0,7075.0,6470.714285714285,1456.7351296976422,6500.571428571428,1292.948163067994,0.0,0.0,1.0,0.0
2024-08-10,Huamak,Test,4729.0,-2895.0,51.0,5.8,33.4,1,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,4826.0,5033.0,6529.0,1499.071935120738,6560.0,1332.700766613901,0.0,0.0,0.0,1.0
2024-08-11,Huamak,Test,3884.0,-845.0,46.0,5.3,34.0,1,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,3922.0,4252.0,6515.142857142857,1517.769572824032,6523.0,1384.740168166317,0.0,0.0,0.0,1.0
2024-08-12,Huamak,Test,3512.0,-372.0,44.0,10.8,32.0,1,0.0,1.0,-0.8660254037844384,-0.5000000000000004,7284.0,7244.0,6509.714285714285,1528.619389545745,6474.285714285715,1480.6261867067776,1.0,0.0,0.0,0.0
2024-08-13,Huamak,Test,7278.0,3766.0,52.0,1.5,32.2,0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,7343.0,7360.0,5970.857142857143,1842.7455447937227,5936.428571428572,1803.1346647013327,0.0,0.0,1.0,0.0
2024-08-14,Huamak,Test,7326.0,48.0,67.0,2.9,33.2,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,7339.0,7357.0,5961.571428571428,1834.825591815452,5930.142857142857,1797.4126245403727,0.0,0.0,1.0,0.0
2024-08-15,Huamak,Test,7348.0,22.0,54.0,0.2,33.0,0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,7365.0,7183.0,5959.714285714285,1833.2049089218615,5934.714285714285,1801.6820579933647,0.0,0.0,1.0,0.0
2024-08-16,Huamak,Test,7524.0,176.0,53.0,1.8,33.4,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,7624.0,7491.0,5957.285714285715,1831.042937261497,5965.714285714285,1828.408571616823,0.0,0.0,1.0,0.0
2024-08-17,Huamak,Test,5006.0,-2518.0,46.0,2.1,31.9,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,4729.0,4774.0,5943.0,1816.2019895007932,5959.857142857143,1822.7650633557914,0.0,0.0,0.0,1.0
2024-08-18,Huamak,Test,3988.0,-1018.0,51.0,0.2,33.2,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,3884.0,3911.0,5982.571428571428,1788.1438101322437,5960.714285714285,1822.1157769916465,0.0,0.0,0.0,1.0
2024-08-19,Huamak,Test,7358.0,3370.0,48.0,2.7,33.6,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,3512.0,3479.0,5997.428571428572,1768.1213059009624,5980.428571428572,1796.8137407777094,0.0,0.0,1.0,0.0
2024-08-20,Huamak,Test,7459.0,101.0,56.0,12.2,32.8,0,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,7278.0,7316.0,6546.857142857143,1432.8418648000827,6493.714285714285,1441.144535231813,0.0,0.0,1.0,0.0
2024-08-21,Huamak,Test,7366.0,-93.0,52.0,2.5,32.6,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,7326.0,7389.0,6572.714285714285,1449.768339458138,6488.571428571428,1437.781376188408,0.0,0.0,1.0,0.0
2024-08-22,Huamak,Test,7456.0,90.0,58.0,0.8,33.2,0,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,7348.0,7400.0,6578.428571428572,1453.3067876562015,6469.857142857143,1424.902853831478,0.0,0.0,1.0,0.0
2024-08-23,Huamak,Test,7517.0,61.0,51.0,1.0,34.0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,7524.0,7450.0,6593.857142857143,1463.3767376142223,6486.142857142857,1437.8978207289592,0.0,0.0,1.0,0.0
2024-08-24,Huamak,Test,4755.0,-2762.0,59.0,12.0,33.1,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,5006.0,4780.0,6592.857142857143,1462.6373928137868,6521.714285714285,1468.471168061708,0.0,0.0,0.0,1.0
