Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-04-26,Phayathai,Train,-1.3865144118494068,0.7818314824680298,-1.5724076601276469,-1.4460665087679252,-1.9862536680362992,-1.440278494154405,-1.9645299560559926,-1.424003947844381,1.0
2022-04-27,Phayathai,Train,-1.3043934418714624,0.9749279121818236,-1.5598768942313808,-1.4726752429978538,-1.9468804542814686,-1.34563601664383,-1.96481173833754,-1.4249326679823946,1.0
2022-04-28,Phayathai,Train,-1.3246659825773148,0.43388373911755823,-1.5226232658911307,-1.5525014456876394,-1.8956009693013751,-1.2211589271154781,-1.9492009999397988,-1.3703755314250645,1.0
2022-04-29,Phayathai,Train,-0.9721299357263902,-0.433883739117558,-1.287925407347555,-1.2982402074905446,-1.8542826716335068,-1.143591761656822,-1.9255876447461033,-1.3202029278649234,1.0
2022-04-30,Phayathai,Train,-1.809832549978392,-0.9749279121818236,-1.9046422910529683,-1.8954584646511625,-1.7933367090249819,-0.8302634027177997,-1.8863071946983574,-1.0650976505429657,0.0
2022-05-01,Phayathai,Train,-2.1042997937905192,-0.7818314824680299,-2.2074126886546375,-2.2538551195258787,-1.7687579213965923,-0.9539781739909706,-1.8766138842131173,-1.1124271057063724,0.0
2022-05-02,Phayathai,Train,-1.9146312773561036,0.0,-1.2919894395301277,-1.4680762025136687,-1.7419982821081297,-1.2218655261090765,-1.8366008002333472,-1.5318128769384804,1.0
2022-05-03,Phayathai,Train,-1.228800917205572,0.7818314824680298,-1.3461765352977644,-1.4477090232265628,-1.8420227487876915,-1.0495277656023956,-1.8981420505233597,-1.4144705981544217,1.0
2022-05-04,Phayathai,Train,-2.059631483760675,0.9749279121818236,-1.2652345609948572,-1.3816799419893329,-1.8149683998154353,-0.9660333339221784,-1.868047702854068,-1.3080727275090163,0.0
2022-05-05,Phayathai,Train,-1.1312178399096047,0.43388373911755823,-1.2852160525591731,-1.4148587340538115,-1.9445227768111197,-0.7894921527055453,-1.9726452857645655,-1.1392719502368704,1.0
2022-05-06,Phayathai,Train,-0.9401749139358093,-0.433883739117558,-0.9377413009492039,-1.0692736919564683,-1.9113384664159558,-0.633062886644498,-1.920064712027769,-0.8595281287719119,1.0
2022-05-07,Phayathai,Train,-1.7929960331209893,-0.9749279121818236,-1.7634171727085655,-1.8389559672740303,-1.9058568662973938,-0.5917591932925415,-1.8881669577565723,-0.5969997179774786,0.0
2022-05-08,Phayathai,Train,-1.9276881679802118,-0.7818314824680299,-2.053656804413969,-2.020618066399345,-1.9029687113962162,-0.5986131612052118,-1.8700201788249018,-0.6523043672894925,0.0
2022-05-09,Phayathai,Train,-1.0490968699316603,0.0,-1.8667113240156228,-1.8268013602801123,-1.87267255590223,-0.7555182982066794,-1.84719581401954,-0.781883963081655,1.0
2022-05-10,Phayathai,Train,-1.0394760031560015,0.7818314824680298,-1.190727304314357,-1.2722884790440712,-1.7241978172069938,-0.7064695659081475,-1.717068756400823,-0.7327065541335948,1.0
2022-05-11,Phayathai,Train,-1.01233141475325,0.9749279121818236,-2.009629789102764,-1.9913813090355963,-1.6917208100529344,-0.591262866401385,-1.6798734952365297,-0.6120610131892296,1.0
2022-05-12,Phayathai,Train,-0.7608144690467424,0.43388373911755823,-1.0945452093268022,-1.1083655360720424,-1.5120657868123308,-1.0221367366851015,-1.4986874882013737,-0.9927484133612593,1.0
2022-05-13,Phayathai,Train,-1.237390976826696,-0.433883739117558,-0.9062450515342652,-0.8833410552386961,-1.448526378986422,-0.7752816394814663,-1.4608159495613657,-0.8667013259112389,0.0
2022-05-14,Phayathai,Train,-1.6658631507283557,-0.9749279121818236,-1.746822374629727,-1.7331780361377713,-1.4995111542827217,-0.8720493818444582,-1.4893886729102999,-0.9730130466771423,0.0
2022-05-15,Phayathai,Train,-1.9995010664128077,-0.7818314824680299,-1.8795807592604363,-1.8875743952497022,-1.4777026376819926,-1.010503668463568,-1.4661134564544618,-1.1335846230375373,0.0
2022-05-16,Phayathai,Train,-2.118731093954007,0.0,-1.013603235023895,-1.0682881832812856,-1.4900215024645664,-0.8928782795552652,-1.4785682332988694,-0.9961085245379588,0.0
2022-05-17,Phayathai,Train,-0.7343570854136809,0.7818314824680298,-1.0041204932645587,-1.0554765705039126,-1.6735077515944876,-0.3437378544089142,-1.6217699887813988,-0.5861389587467029,1.0
2022-05-18,Phayathai,Train,-0.8157908506219353,0.9749279121818236,-0.9773656147292882,-0.9352445121316431,-1.6211673117527368,-0.0785509848006899,-1.5565092123749567,-0.2262386712540091,1.0
2022-05-19,Phayathai,Train,-0.7051508827018597,0.43388373911755823,-0.729459651592351,-0.8876115928311538,-1.5874525239267445,0.06162478980808192,-1.5085498680555423,0.02656438370926415,1.0
2022-05-20,Phayathai,Train,-0.42236611997446116,-0.433883739117558,-1.1991940380280501,-1.049892021344545,-1.5779039301718303,0.11474720966450941,-1.4664515951923192,0.23141384324529435,1.0
2022-05-21,Phayathai,Train,-1.4600453222062273,-0.9749279121818236,-1.6215147156670673,-1.5975063418543085,-1.4380936561801274,0.6410829460988061,-1.3499064435442005,0.7354197707468754,0.0
2022-05-22,Phayathai,Train,-1.757948589866804,-0.7818314824680299,-1.9503626531069116,-1.9601735343214826,-1.4027874360616492,0.5348763907376441,-1.3234752655350284,0.6354212242720474,0.0
2022-05-23,Phayathai,Train,-0.7302338567955414,0.0,-2.0678809170529733,-1.9030140311608954,-1.3613512545202633,0.28121917066972263,-1.2683586512643026,0.24760855508388013,1.0
2022-05-24,Phayathai,Train,-0.7463831688832544,0.7818314824680298,-0.703382111754176,-0.6750702218834531,-1.1231668880782428,-0.6293314405072172,-1.0850874553456942,-0.5851440731114164,1.0
