Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-10-27,Makkasan,Train,1.0990357975930232,1.4779537123460194,1.470891848486481,0.6917993455773594,0.9972653507528442,0.7997640253172988,1.248452215847196,1.0
2023-10-28,Makkasan,Train,-0.3654448291775721,0.09029315679394742,0.1396120244967852,0.6206146994104688,0.6937560114091019,0.7477315600544319,1.0444950770075727,0.0
2023-10-29,Makkasan,Train,-0.6665138251890801,-0.33157225007710356,-0.4234965563105923,0.5374996656178419,0.947772309857295,0.6757201218856084,1.266213891757203,0.0
2023-10-30,Makkasan,Train,0.8307979914017957,-0.8260538335407125,-0.7122117650829297,0.47811284721417857,1.2120105574047249,0.6397455226966884,1.449893856488053,1.0
2023-10-31,Makkasan,Train,0.9830788292916071,1.0754526192329836,1.284056978322646,0.7976483957901387,0.38685059748475475,0.9299696680564339,0.5946101797146089,1.0
2023-11-01,Makkasan,Train,0.9355783844452439,1.0858263587462063,1.2556303023743736,0.7816086524266498,0.34470154002739745,0.8767546467648653,0.4468156842066326,1.0
2023-11-02,Makkasan,Train,0.9799354175003037,1.0962000982594289,1.2272036264261017,0.7545664404749819,0.2729739398628733,0.8302200297056114,0.305345964741393,1.0
2023-11-03,Makkasan,Train,1.198577170984299,1.1065738377726515,1.1987769504778294,0.7339533818549598,0.211596172590603,0.8148882945264808,0.25011147513259957,1.0
2023-11-04,Makkasan,Train,-0.24844005694572152,-0.3433291548587558,-0.23698718243624123,0.7528431622623754,0.28115302520894275,0.8308216810184594,0.31285736256826346,0.0
2023-11-05,Makkasan,Train,-0.13283235662111695,-0.6414012702053509,-0.6116334116323635,0.7750469392324951,0.16143037046438408,0.7996395457353297,0.493534565517227,0.0
2023-11-06,Makkasan,Train,0.9079862142771359,0.8410061062341537,0.8055774327811172,0.8763226741887421,-0.5496257870145626,0.8628751733753692,0.05894305947780864,1.0
2023-11-07,Makkasan,Train,1.3162804791697726,0.9917711204929883,1.0057576508137975,0.8909705389958961,-0.5253587917542556,0.8990364919372418,0.11559204242443219,1.0
2023-11-08,Makkasan,Train,1.079826058868391,0.9447435013663794,1.0122675766034783,0.9542015934122963,-0.3066940028851212,0.9225631329293034,0.17440883769907942,1.0
2023-11-09,Makkasan,Train,1.1119587127350485,0.9886589986390216,1.147023040449868,0.9815752050202348,-0.25030612542773195,0.9340774942613967,0.2000223411208945,1.0
2023-11-10,Makkasan,Train,1.3082473157031083,1.2051243631482658,1.2821040005857418,1.0066290190342801,-0.19629808379089977,0.9134138836546127,0.14656761700474083,1.0
2023-11-11,Makkasan,Train,0.5136626684569588,-0.2274890636277705,-0.4000608234677419,1.027440917448064,-0.1250384753056815,0.9229988114661934,0.18516197989849445,0.0
2023-11-12,Makkasan,Train,-0.3734779926442365,-0.11303213766521486,-0.28092918151658575,1.1720637274444847,-0.882424286733119,1.0843865894884575,-0.6910756446948941,0.0
2023-11-13,Makkasan,Train,0.9205598614423497,0.9174259873148933,0.9946907769713405,1.1263968548104182,-0.4724232933444298,1.0833285130417247,-0.6812380047358585,1.0
2023-11-14,Makkasan,Train,1.1315177194364923,1.321656037013466,1.1287952482387622,1.1287829323355651,-0.4710587847111744,1.074054784185065,-0.6934576523975354,1.0
2023-11-15,Makkasan,Train,1.052932424653906,1.0875553153317434,1.0724843901580243,1.0937208487021528,-0.5783303126391,1.0699469579801022,-0.7042033278943189,1.0
2023-11-16,Makkasan,Train,1.2286142169900875,1.119368116505626,1.038958272341169,1.088617293995588,-0.5885477933350356,1.0632250605537985,-0.7184806251898435,1.0
2023-11-17,Makkasan,Train,1.1542201379292394,1.3137028367199952,1.332230429166283,1.1107547910344528,-0.5278032030180908,1.093535838763148,-0.6408705412904218,1.0
2023-11-18,Makkasan,Train,-0.4181842936761077,0.5270275903006174,0.4439510551643563,1.0815253413513999,-0.6230220056860882,1.057623479365213,-0.770906902824122,0.0
2023-11-19,Makkasan,Train,-0.8886482584411904,-0.35128235515222644,-0.2864626184378143,0.9046904847654919,0.22511768904758475,0.9075011035111049,0.022134293249668195,0.0
2023-11-20,Makkasan,Train,0.9684095742655243,0.9298744747307603,0.9461918298382196,0.806927586165711,0.9248510183669801,0.7807808890670901,0.9845340259954304,1.0
2023-11-21,Makkasan,Train,1.1409479548104025,1.1387324302636415,1.107312493132816,0.8160079367475216,0.9411091424600255,0.7655943800669232,0.9580893801233334,1.0
2023-11-22,Makkasan,Train,1.1077674970133105,1.0609293839144722,1.0373307908937488,0.8177974948913821,0.9460507128589775,0.7654076606939706,0.9575535429797326,1.0
2023-11-23,Makkasan,Train,0.9471042276800232,1.234862416419504,1.1974749653198933,0.8282034440982736,0.971430153128206,0.7870671079565038,1.0168702827822345,1.0
2023-11-24,Makkasan,Train,1.266335158485729,1.1612088658756237,1.1444190701339958,0.7747818195074784,0.8328518275583465,0.7781668178457498,0.9889513186469058,1.0
2023-11-25,Makkasan,Train,-0.3085141489572985,-0.39554364374197604,-0.34114599507113186,0.796057677440041,0.9035867573413492,0.8051166473419477,1.0778497282809338,0.0
2023-11-26,Makkasan,Train,-0.5826895107543215,-0.8613245478856693,-0.9491730638273059,0.8168695758538248,0.7975608991859567,0.8259047375307007,0.9768675778722019,0.0
2023-11-27,Makkasan,Train,1.4280462317494507,0.9772478851744768,0.8667707352041154,0.8749307956324063,0.34994758249152413,0.877128085510771,0.5515199686923166,1.0
2023-11-28,Makkasan,Train,1.177970360352421,1.1480687958255418,1.106336004264364,0.9621551851627868,0.610971297955306,0.9516291153189663,0.7131013249754184,1.0
2023-11-29,Makkasan,Train,1.2128971580335703,1.115218620700337,1.1506034996341925,0.96918085787572,0.628378789308973,0.9416085089704956,0.69203589197434,1.0
2023-11-30,Makkasan,Train,1.0609655881205704,0.9561546148309242,1.1509289959236764,0.9891311171832007,0.676398756353204,0.9256751224785178,0.6547543085382875,1.0
2023-12-01,Makkasan,Train,1.3124385314248461,1.272207878667105,1.2853589634805822,1.0107383747720338,0.7074830295696419,0.916401393621858,0.6314308564262751,1.0
2023-12-02,Makkasan,Train,-0.22119715475442497,-0.28696517017024653,-0.23243023438346477,1.0194873256975736,0.7330860196914646,0.9373139633925794,0.7090970007440678,0.0
2023-12-03,Makkasan,Train,-0.6253002039253238,-0.5584113540995703,-0.6812896175819466,1.0360573085110951,0.639195543827264,0.9428533047901816,0.6793667691356126,0.0
2023-12-04,Makkasan,Train,0.6683883821844508,1.4323092584878399,1.2563897937165032,1.0279711568980967,0.7005005598866068,0.9314011832490724,0.772655087422735,1.0
2023-12-05,Makkasan,Train,-1.008447174487533,1.1847226754389282,1.0539311016574344,0.8838123064204539,0.423322530202298,0.8066104023255702,0.5753032074688598,0.0
2023-12-06,Makkasan,Train,0.9156701097669887,1.21930180714967,1.0672764495262799,0.46889993676986014,1.3297988436490387,0.43522556952231134,1.3620233660740517,1.0
2023-12-07,Makkasan,Train,0.8793462401785933,1.0688825842079428,1.1024300487905554,0.41249571527263046,1.1249952845576858,0.4185453055385218,1.303443998579455,1.0
2023-12-08,Makkasan,Train,1.7043172014073427,1.3178523325252842,1.3947257167472173,0.37803015102050463,1.0059342440524732,0.4049770311039467,1.2514855492280001,1.0
2023-12-09,Makkasan,Train,0.32750283681643244,-0.20051734089339182,-0.20346106461938582,0.4523962338875917,1.4445879294232635,0.448607124583934,1.509048843632877,0.0
2023-12-10,Makkasan,Train,-0.35007703819786634,-0.6005978947866755,-0.7411809348470088,0.5565220058877652,1.2880283662747438,0.5190625679781499,1.3736882455362203,0.0
2023-12-11,Makkasan,Train,-0.3979267510210411,0.6802131437792039,0.6037697333010166,0.6087505917159866,1.051253546163164,0.5986672606470571,0.9761390999056444,0.0
2023-12-12,Makkasan,Train,1.2782102696973197,-0.9799309696535139,-0.8883052576937918,0.4063979615972544,1.2882672839392402,0.40920933689087785,1.2524590436450025,1.0
2023-12-13,Makkasan,Train,1.16609524914083,0.9250333962912565,0.980043443944559,0.8403326715177717,0.553555989985763,0.8285810485430251,0.6515561273796955,1.0
2023-12-14,Makkasan,Train,1.0840172745901289,0.889071099312085,1.0314718576830362,0.8878553822269536,0.6604246507893775,0.842522761723506,0.6826714528051363,1.0
2023-12-15,Makkasan,Train,1.320820962868322,1.7058301903198083,1.6228986156755245,0.9266954219418497,0.7264073398387493,0.8420248433956319,0.681539048959616,1.0
2023-12-16,Makkasan,Train,-0.031195375368972118,0.34272081828236317,0.16500073507653978,0.8539200574248604,0.37327178332477223,0.7999507446902514,0.4585596809635682,0.0
2023-12-17,Makkasan,Train,-0.4485706076587077,-0.32811433690602937,-0.3248711805969302,0.7858505680269113,0.5548404048855033,0.7746191497596454,0.5348841474366404,0.0
2023-12-18,Makkasan,Train,1.111609444758237,-0.37548774734974577,-0.38704097188838055,0.7671596274132586,0.6570403216396257,0.7436237338494691,0.7135489074964001,1.0
2023-12-19,Makkasan,Train,0.8887764755525037,1.2839647834487573,1.3048887408496241,1.0536214902934287,0.11664622891689858,1.0180389722992043,0.14650056202792444,1.0
2023-12-20,Makkasan,Train,0.7805034027409404,1.1729657706572758,1.0529546127889824,0.9797193669451203,-0.04102404591383167,0.9335173361425384,-0.0520298981938495,1.0
2023-12-21,Makkasan,Train,0.7846946184626784,1.0917048111370324,1.028867887367164,0.9065463228406063,-0.17656323301635138,0.8943062678224356,-0.12352470940402456,1.0
2023-12-22,Makkasan,Train,1.7535639861377634,1.3261513241358625,1.4028631239843181,0.8497444217558529,-0.2896733303850472,0.8677298770721437,-0.17923497109236558,1.0
2023-12-23,Makkasan,Train,0.08546012888606695,-0.012406864386955978,0.03252374525653827,0.9318652565796686,0.18985493822437008,0.9394923560770296,0.2627274454771552,0.0
2023-12-24,Makkasan,Train,-0.552652464748533,-0.4256274883303215,-0.48696833275997875,0.9540027536185335,0.09583723084222849,0.9251772041506436,0.32734407513401287,0.0
2023-12-25,Makkasan,Train,0.4396178573729221,1.1190223251885185,1.048072168446722,0.9342513341048156,0.24456328414575945,0.9172727506956381,0.38694372014020734,1.0
2023-12-26,Makkasan,Train,0.3833857131062715,0.8984074648739853,0.8628647797303071,0.8067287463719491,0.14088307043645834,0.8410912465308676,0.2990780175493896,1.0
2023-12-27,Makkasan,Train,0.24367852238167384,0.7912121565706854,0.8478919504140415,0.7108216858472829,0.0951286890001092,0.7669014156775933,0.27081986086380894,1.0
2023-12-28,Makkasan,Train,0.22516731961066463,0.7953616523759744,0.8898809717574818,0.6089494315097492,0.07847557536164779,0.6864253659349067,0.22623314857078647,1.0
2023-12-29,Makkasan,Train,-0.5564944124934594,1.7545867660319543,1.7781603457594084,0.5027689816406994,0.011924655904392963,0.6093102649053712,0.12730672521336475,0.0
2023-12-30,Makkasan,Train,-0.8236844147542525,0.10308743552692191,-0.04234040132478937,0.0643935163261578,-1.39985356279424,0.21744854086828008,-1.2595237271892663,0.0
2023-12-31,Makkasan,Train,-1.03114959298028,-0.5286733008283323,-0.528306361524451,-0.10813314472823474,-0.8353964394940467,0.11170313598597092,-0.8053568461824798,0.0
2024-01-01,Makkasan,Train,-0.7426542441339858,0.4537198310738446,0.6496647101182653,-0.19893665054633625,-0.35854809194761567,0.13535425656000175,-0.925749075008824,0.0
2024-01-02,Makkasan,Train,0.07533135755853362,0.3980474290195502,0.47487320266533944,-0.4232942178414254,-0.514380709744862,-0.13856306356185935,-0.7461139457018063,1.0
2024-01-03,Makkasan,Train,0.6533698591815565,0.2597309021765827,0.42702524811118653,-0.48175311720753144,-0.7866488242717605,-0.25607178894019933,-1.0746384982963602,1.0
2024-01-04,Makkasan,Train,0.720080042752552,0.24140396236988945,0.48659106908676464,-0.4040067578464861,-0.3090592309638953,-0.24412174907121517,-1.0019048131324968,1.0
2024-01-05,Makkasan,Train,0.7791063308336945,-0.5324770053165139,-0.2711642928320647,-0.3100880952594422,0.16408443687597532,-0.21144585880446284,-0.7845956895037014,1.0
2024-01-06,Makkasan,Train,-0.5257588305340479,-0.7970073629036893,-0.5953585971581619,-0.05663363814380796,0.5564857158808675,0.0063934096405526,-0.15597652428582587,0.0
2024-01-07,Makkasan,Train,-0.8659458399484433,-1.002407405265496,-0.40461777152051837,-9.68567840703346e-05,0.34439281456773946,0.030729167915410152,-0.2540203631819856,0.0
2024-01-08,Makkasan,Train,1.021847574717683,-0.7167837773347682,-0.782844459900965,0.0312535506991139,0.1617109697757994,-0.053730228450271665,0.11561104303153631,1.0
2024-01-09,Makkasan,Train,1.1587606216277888,0.09305948733080677,-0.1396637918805153,0.36609976339476846,0.16213083200615452,0.3034639320085695,0.2314074596456087,1.0
2024-01-10,Makkasan,Train,1.151775262091559,0.665344117143585,0.4895205356921209,0.5717001101449509,0.5009720414583013,0.5532944530195097,0.5196381325480788,1.0
2024-01-11,Makkasan,Train,1.144789902555329,0.731390258711102,0.6574766210658821,0.6662815720445353,0.7375067895000162,0.6906369251248433,0.8193857491569501,1.0
2024-01-12,Makkasan,Train,1.137804543019099,0.7898289913022557,0.8680727203620515,0.7468779684495073,0.9140964285580501,0.8036851321493091,1.0584817330731433,1.0
2024-01-13,Makkasan,Train,-0.5376339417456387,-0.5020473694110611,-0.4680895479699048,0.8149474578474564,1.0476615694808704,0.8842856614739649,1.2439982176448068,0.0
2024-01-14,Makkasan,Train,-0.887600454510756,-0.838848112273687,-0.8463162363503515,0.8126939401848172,1.0606247454247926,0.8952398646871998,1.1810155783130238,0.0
2024-01-15,Makkasan,Train,1.20346692265966,1.0301539566919118,1.0851787454479018,0.8085845844470636,1.0912614893009112,0.9070031851832306,1.088534611158938,1.0
2024-01-16,Makkasan,Train,1.2073088704045865,1.16570415299802,1.166878314108394,0.8430501486991895,1.1773743135611594,0.9136006030275653,1.1029897244540512,1.0
2024-01-17,Makkasan,Train,1.1891469356103888,1.1587883266558716,1.2077823478202208,0.8522630591435079,1.2025725968800125,0.9174594700685914,1.1128623566887024,1.0
