Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Religious Holiday,holiday_category_Weekday,holiday_category_Weekend
2023-11-17,Suvarnabhumi,Train,11499.0,173.0,53.0,0.9,28.4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,14206.0,11356.0,12803.714285714286,883.1920731614426,10880.57142857143,421.3675581338329,0.0,0.0,0.0,1.0,0.0
2023-11-18,Suvarnabhumi,Train,10464.0,-1035.0,84.0,0.0,27.4,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,12683.0,10398.0,12781.857142857143,843.7154790116032,10901.0,450.7038939259904,0.0,0.0,0.0,0.0,1.0
2023-11-19,Suvarnabhumi,Train,10450.0,-14.0,102.0,0.0,27.6,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,11572.0,10278.0,12732.42857142857,860.4415256411038,10910.42857142857,438.96501650397636,0.0,0.0,0.0,0.0,1.0
2023-11-20,Suvarnabhumi,Train,11279.0,829.0,104.0,0.0,28.6,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,12578.0,11090.0,12661.857142857143,983.0085500766427,10935.0,400.82082447570554,0.0,0.0,0.0,1.0,0.0
2023-11-21,Suvarnabhumi,Train,11244.0,-35.0,103.0,0.0,30.0,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,12334.0,10861.0,12662.714285714286,982.9258558483502,10962.0,418.95743618342044,0.0,0.0,0.0,1.0,0.0
2023-11-22,Suvarnabhumi,Train,11134.0,-110.0,119.0,0.0,30.8,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,12534.0,10855.0,12763.857142857143,979.8856104279619,11016.714285714286,428.47003562515755,0.0,0.0,0.0,1.0,0.0
2023-11-23,Suvarnabhumi,Train,11321.0,187.0,111.0,0.0,31.1,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,13719.0,11326.0,12885.285714285714,999.1315753002057,11056.57142857143,423.87177980415106,0.0,0.0,0.0,1.0,0.0
2023-11-24,Suvarnabhumi,Train,11958.0,637.0,110.0,0.0,31.7,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,14053.0,11499.0,13006.57142857143,1156.3635323926385,11055.857142857143,423.3459690653291,0.0,0.0,0.0,1.0,0.0
2023-11-25,Suvarnabhumi,Train,10727.0,-1231.0,84.0,0.0,30.9,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,12337.0,10464.0,13074.142857142857,1238.597920845893,11121.42857142857,526.4218388146585,0.0,0.0,0.0,0.0,1.0
2023-11-26,Suvarnabhumi,Train,10898.0,171.0,100.0,9.9,31.5,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,11078.0,10450.0,13215.285714285714,1196.163967897041,11159.0,478.92240150855463,0.0,0.0,0.0,0.0,1.0
