Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-08-20,Banthapchang,Train,-1.0340085725864316,-1.1061304364333988,0.5268964155392141,0.5964632658615051,1.5511752756705517,0.0
2023-08-21,Banthapchang,Train,1.2463227795754543,-1.053046495784881,0.535741258219049,0.5964632658615051,1.5511752756705517,1.0
2023-08-22,Banthapchang,Train,0.9770077836735764,1.2556223411470209,1.108444821738345,1.1865032134365219,0.8003516748640204,1.0
2023-08-23,Banthapchang,Train,1.364270952963138,1.2932636808796063,1.1167982842692996,1.0969326531659054,0.6567750162869374,1.0
2023-08-24,Banthapchang,Train,1.256151794024428,1.1745486863383756,1.0954232477930324,1.1037850457549143,0.672653421546417,1.0
2023-08-25,Banthapchang,Train,1.2718782171427858,1.2218416516434187,1.1077077515150253,1.0969326531659054,0.6585378103832065,1.0
2023-08-26,Banthapchang,Train,-0.5995661339417964,-0.6650511477720781,1.1327681391078899,1.129236789656948,0.7175772257108061,0.0
2023-08-27,Banthapchang,Train,-1.1087090823986312,-1.0713845843725507,1.1288370979168525,1.1297262462704485,0.7156627089986066,0.0
2023-08-28,Banthapchang,Train,1.2070067217795597,1.1967474251550285,1.1167982842692996,1.1111268949574238,0.8147163091222865,1.0
2023-08-29,Banthapchang,Train,1.2718782171427858,1.2884378680933775,1.0949318676441526,1.101337762687411,0.7965402631738333,1.0
2023-08-30,Banthapchang,Train,1.2787585272570674,1.2092945383992235,1.0747852815400847,1.1747562547125068,0.9044922654725295,1.0
2023-08-31,Banthapchang,Train,1.3308523038366276,1.2228068142006645,1.073311141093446,1.1534648920252288,0.8615751627799532,1.0
2023-09-01,Banthapchang,Train,1.334783909616217,1.320288232482488,1.1018111897284686,1.1720642433382535,0.8975471937248362,1.0
2023-09-02,Banthapchang,Train,-0.5681132877050807,-0.6804937486880105,1.1045137805473066,1.1877268549702735,0.9276394923721998,0.0
2023-09-03,Banthapchang,Train,-1.0526837000394815,-1.118677549677594,1.129328478065732,1.1955581607862835,0.8977576754101086,0.0
2023-09-04,Banthapchang,Train,1.280724330146862,1.1108479575601542,1.1465267832765216,1.209507674271052,0.8224810883591913,1.0
2023-09-05,Banthapchang,Train,1.3878605876406749,1.2092945383992235,1.184363054740259,1.2278622972773259,0.8536661510926499,1.0
2023-09-06,Banthapchang,Train,1.3200403879427567,1.203503563055749,1.2224450162784364,1.2567402374738632,0.9086835353486684,1.0
2023-09-07,Banthapchang,Train,1.3839289818610854,1.3347656708411748,1.2541390358811768,1.2670188263573765,0.9268258801944952,1.0
2023-09-08,Banthapchang,Train,1.2030751159999702,1.3309050206121917,1.2374321108192674,1.2802341549218939,0.9520918684475693,1.0
2023-09-09,Banthapchang,Train,-0.6103780498356675,-0.5830123304061869,1.2067208515142855,1.2474405618173516,0.8974207542770322,0.0
2023-09-10,Banthapchang,Train,-1.1155893925129128,-1.0511161706703895,1.187802715782417,1.2369172446270875,0.9386272055539631,0.0
2023-09-11,Banthapchang,Train,1.2060238203346623,1.259482991376004,1.1733070013904654,1.2212546329950669,1.0220195400696197,1.0
2023-09-12,Banthapchang,Train,1.3200403879427567,1.3588947347723193,1.1531604152863981,1.202655281682043,0.9912771088903066,1.0
2023-09-13,Banthapchang,Train,1.2679466113631963,1.3280095329404542,1.1354707299267282,1.1857690285162714,0.9570855080684314,1.0
2023-09-14,Banthapchang,Train,1.2669637099182989,1.2691346169484619,1.1165525941948595,1.172798428258504,0.9326758879310139,1.0
2023-09-15,Banthapchang,Train,1.2286305535673017,1.2102597009564693,1.0885439257087164,1.143675759755216,0.8735638800603155,1.0
2023-09-16,Banthapchang,Train,-0.7194801102192749,-0.6573298473141118,1.1003370492818298,1.1500386957307245,0.8845417050548231,0.0
2023-09-17,Banthapchang,Train,-1.1667002676475757,-1.1080607615478903,1.0863327150387578,1.1228738536814395,0.9917167404764257,0.0
2023-09-18,Banthapchang,Train,1.175553875542844,1.1803396616818502,1.046285232905062,1.1101479817304227,1.058593534407657,1.0
2023-09-19,Banthapchang,Train,1.2571346954693252,1.2894030306506232,0.998129978314851,1.1025614042211627,1.0459861737007887,1.0
2023-09-20,Banthapchang,Train,1.2374766665713781,1.2536920160325293,0.984125644071779,1.0868987925891427,1.0150048811929044,1.0
2023-09-21,Banthapchang,Train,1.1195284931836942,1.159106085422443,0.9637333678932716,1.0793122150798826,1.0005901951897063,1.0
2023-09-22,Banthapchang,Train,1.2443569766856595,1.2565875037042666,0.9512031740968392,1.0426029690673346,0.9354358641950541,1.0
2023-09-23,Banthapchang,Train,-0.762727773794759,-0.7123441130771212,0.9440781619380831,1.0465186219753397,0.9430466578236629,0.0
2023-09-24,Banthapchang,Train,-1.1087090823986312,-1.2653822583789522,0.9096815515165039,1.0357505764783257,0.9860022543043152,0.0
