Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-10-13,Banthapchang,Train,1761.0,3824.0,3721.0,3393.714285714286,1026.895923691992,3225.5714285714284,940.1595356007172,0.0
2023-10-14,Banthapchang,Train,1858.0,2132.0,2095.0,3099.0,1169.0242369885495,2945.285714285714,1053.475314421386,0.0
2023-10-15,Banthapchang,Train,1754.0,1684.0,1668.0,3059.8571428571427,1210.6453414840933,2909.4285714285716,1090.8487302925882,0.0
2023-10-16,Banthapchang,Train,3810.0,4062.0,3955.0,3069.8571428571427,1197.605448185588,2910.285714285714,1089.712456611944,1.0
2023-10-17,Banthapchang,Train,3905.0,4062.0,3449.0,3033.8571428571427,1166.186438578242,2881.8571428571427,1060.1090240428773,1.0
2023-10-18,Banthapchang,Train,3933.0,3932.0,3806.0,3011.4285714285716,1144.4238517179492,2942.285714285714,1108.76488554994,1.0
2023-10-19,Banthapchang,Train,3902.0,4060.0,3885.0,3011.5714285714284,1144.5579724858617,2939.285714285714,1106.0635476447867,1.0
2023-10-20,Banthapchang,Train,3690.0,1761.0,1759.0,2989.0,1121.7673555599638,2914.1428571428573,1082.7371839573116,1.0
2023-10-21,Banthapchang,Train,1930.0,1858.0,1844.0,3264.5714285714284,1000.1676288074308,3184.714285714286,977.4977773692931,0.0
2023-10-22,Banthapchang,Train,1659.0,1754.0,1674.0,3274.8571428571427,983.5233311198753,3199.8571428571427,953.8003684509387,0.0
2023-10-23,Banthapchang,Train,1547.0,3810.0,3756.0,3261.285714285714,1008.3490986567589,3204.714285714286,944.778936098409,0.0
2023-10-24,Banthapchang,Train,4033.0,3905.0,3872.0,2938.0,1155.1839680327957,2882.285714285714,1097.9881168582401,1.0
2023-10-25,Banthapchang,Train,3984.3333333333335,3933.0,3785.0,2956.285714285714,1173.903419406909,2875.0,1090.469776441939,1.0
2023-10-26,Banthapchang,Train,3935.6666666666665,3902.0,3709.0,2963.6190476190473,1181.159747538979,2881.952380952381,1097.3718170073005,1.0
2023-10-27,Banthapchang,Train,3887.0,3690.0,3653.0,2968.4285714285716,1185.6774390271514,2901.5714285714284,1115.6969373824845,1.0
2023-10-28,Banthapchang,Train,2022.0,1930.0,1950.0,2996.5714285714284,1207.790678367455,2931.0,1141.2449504979363,0.0
2023-10-29,Banthapchang,Train,1677.0,1659.0,1708.0,3009.714285714286,1194.6795700656598,2946.4285714285716,1126.4059316034,0.0
2023-10-30,Banthapchang,Train,3816.0,1547.0,1499.0,3012.285714285714,1191.3023441311068,2942.0,1132.132811866039,1.0
2023-10-31,Banthapchang,Train,3949.0,4033.0,3821.0,3336.4285714285716,1022.9550280525444,3260.4285714285716,958.8289677611926,1.0
2023-11-01,Banthapchang,Train,4032.0,3984.3333333333335,3833.6666666666665,3324.4285714285716,1013.874247339374,3260.0,958.5372729861414,1.0
2023-11-02,Banthapchang,Train,3967.0,3935.6666666666665,3846.3333333333335,3331.2380952380954,1019.1912137370116,3271.047619047619,966.6622495794018,1.0
2023-11-03,Banthapchang,Train,3884.0,3887.0,3859.0,3335.714285714286,1022.3521432275169,3265.8571428571427,963.1495952639692,1.0
2023-11-04,Banthapchang,Train,1903.0,2022.0,2058.0,3335.285714285714,1022.0831202802917,3252.5714285714284,954.2040063394675,0.0
2023-11-05,Banthapchang,Train,1680.0,1677.0,1677.0,3318.285714285714,1048.2225772366116,3246.0,963.9109571601197,0.0
2023-11-06,Banthapchang,Train,3937.0,3816.0,3728.0,3318.714285714286,1047.440008510542,3255.5714285714284,945.8988418682114,1.0
2023-11-07,Banthapchang,Train,3961.0,3949.0,3818.0,3336.0,1057.9599866409533,3262.5714285714284,950.1494368681997,1.0
