Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,temperature_max,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-03-04,Makkasan,Train,8332.0,-5067.0,160.0,33.3,1,-0.9749279121818236,-0.2225209339563146,7719.0,8148.0,10543.714285714286,2394.0404281107344,11322.0,2492.8856104255274,0.0
2023-03-05,Makkasan,Train,7298.0,-1034.0,158.0,33.4,1,-0.7818314824680299,0.6234898018587334,6478.0,7289.0,10544.285714285714,2393.254180280195,11348.285714285714,2454.514868175629,0.0
2023-03-06,Makkasan,Train,7097.0,-201.0,163.0,33.0,1,0.0,1.0,11767.0,12507.0,10598.57142857143,2287.6256874135556,11349.57142857143,2452.035267360757,0.0
2023-03-07,Makkasan,Train,12699.0,5602.0,178.0,33.9,0,0.7818314824680298,0.6234898018587336,12094.0,12740.0,9797.714285714286,2745.8027796551532,10576.714285714286,2847.1748403335832,1.0
2023-03-08,Makkasan,Train,12421.0,-278.0,179.0,34.3,0,0.9749279121818236,-0.22252093395631434,11878.0,12699.0,9723.857142857143,2679.9049379018165,10570.857142857143,2842.020374579289,1.0
2023-03-09,Makkasan,Train,12466.0,45.0,138.0,33.6,0,0.43388373911755823,-0.900968867902419,11530.0,12472.0,9660.0,2624.779482801059,10531.142857142857,2809.0768014047726,1.0
2023-03-10,Makkasan,Train,12441.0,-25.0,136.0,32.7,0,-0.433883739117558,-0.9009688679024191,12340.0,13399.0,9627.285714285714,2598.887371824457,10530.285714285714,2808.386708550284,1.0
2023-03-11,Makkasan,Train,9409.0,-3032.0,125.0,32.0,0,-0.9749279121818236,-0.2225209339563146,7723.0,8332.0,9490.142857142857,2453.121306184675,10393.42857142857,2664.9707226123414,0.0
2023-03-12,Makkasan,Train,7760.0,-1649.0,112.0,32.7,0,-0.7818314824680299,0.6234898018587334,6858.0,7298.0,9700.0,2336.8297613076984,10547.285714285714,2554.940359009429,0.0
2023-03-13,Makkasan,Train,12148.0,4388.0,133.0,31.7,0,0.0,1.0,6161.0,7097.0,9784.0,2225.5635990313544,10613.285714285714,2461.264357620942,1.0
2023-03-14,Makkasan,Train,11730.0,-418.0,132.0,32.8,0,0.7818314824680298,0.6234898018587336,11577.0,12699.0,10499.857142857143,1577.5537421983013,11334.857142857143,1944.7947131228163,1.0
2023-03-15,Makkasan,Train,12091.0,361.0,149.0,32.0,0,0.9749279121818236,-0.22252093395631434,11431.0,12421.0,10428.42857142857,1531.2956232270571,11196.42857142857,1864.3351681088898,1.0
2023-03-16,Makkasan,Train,12271.0,180.0,118.0,31.7,0,0.43388373911755823,-0.900968867902419,11301.0,12466.0,10406.714285714286,1515.7077240556507,11149.285714285714,1832.1025912218695,1.0
