Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-12-06,Ladkrabang,Train,2.440708097083094,0.35054642759386984,1.7950330076950456,0.279489903984471,0,0.9749279121818236,-0.22252093395631434,1.0,0.9210423156727344,0.9479813957597187,0.48063236659186453,1.1480805663338631,0.5093088625323676,0.7176207782379362,1.0
2023-12-07,Ladkrabang,Train,-0.13843755900549273,-0.759580312241498,0.49411778129727923,-0.5730808509901542,0,0.43388373911755823,-0.900968867902419,1.0,1.1053421981542166,0.9874748991363651,0.5060040602863313,1.2371973302270023,0.5229618645051677,0.7690473638063797,1.0
2023-12-08,Ladkrabang,Train,0.6648638144712667,-0.5514315485223665,-0.6545626845645784,-0.4783507671040851,0,-0.433883739117558,-0.9009688679024191,1.0,1.3195285480651282,1.2336681669388363,0.47476279566254737,1.120373071438993,0.4975924565840783,0.6828777637230486,1.0
2023-12-09,Ladkrabang,Train,-1.6836604532378645,1.0443756399909747,-0.6545626845645784,-0.3362556412749806,1,-0.9749279121818236,-0.2225209339563146,1.0,-0.018388977192333848,0.03091147319551409,0.5088441752521294,1.322124243818723,0.5114391181593292,0.7616906222879064,0.0
2023-12-10,Ladkrabang,Train,-0.5013533872305272,2.2585767616859083,-0.6545626845645784,0.3268549459275064,1,-0.7818314824680299,0.6234898018587334,1.0,-0.4965724560632063,-0.3491493839745506,0.5301450374956185,1.2785586547420538,0.49313828572770324,0.8091464797368122,0.0
2023-12-11,Ladkrabang,Train,-0.42507551200424737,1.07906710061083,-0.6545626845645784,0.18475982009840022,1,0.0,1.0,1.0,0.7467045890010622,0.7853912584818368,0.563090371098882,1.120968722648156,0.5107613095507504,0.7311795212547005,0.0
2023-12-12,Ladkrabang,Train,2.29887892283423,1.772896313007935,-0.6545626845645784,0.5636801556426799,0,0.7818314824680298,0.6234898018587336,1.0,-0.9877067374868317,-0.8779520071086082,0.2926167558559999,1.5687989312726884,0.2467064416087199,1.0751747738029895,1.0
2023-12-13,Ladkrabang,Train,-0.4334184046071218,1.07906710061083,-0.599204589824248,-0.19416051544587615,0,0.9749279121818236,-0.22252093395631434,1.0,1.0545352035241864,1.0203006681766946,0.7174032842406036,0.9422814569647098,0.6195980061282511,0.5378579020240047,1.0
2023-12-14,Ladkrabang,Train,0.0385509483554847,0.0036318213953174055,-0.6545626845645784,-0.004700347673737955,0,0.43388373911755823,-0.900968867902419,1.0,0.9409666272923541,0.8530944071275164,0.6855939966236598,0.8576164817219062,0.6090435577946675,0.5008276957872513,1.0
2023-12-15,Ladkrabang,Train,0.5748797585402647,1.07906710061083,-0.6545626845645784,0.3268549459275064,0,-0.433883739117558,-0.9009688679024191,1.0,1.4988473526417054,1.3070132446383225,0.6819018471681212,0.848292921987033,0.608172089583638,0.4985689823365531,1.0
