Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2023-10-01,Ladkrabang,Train,-0.4556399585104254,-0.7606018678293661,0.7026426135358896,-0.004904191818967157,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,-0.836274577507726,-0.7464844074708834,0.8408284137896259,0.5779944289790427,0.8624300707816425,0.40822399069889354,0.0,0.0,1.0
2023-10-02,Ladkrabang,Train,1.1439193773899121,-1.6280576580536839,0.2457959770356376,-0.4314140108536406,0.0,1.0,-0.8660254037844386,0.5000000000000001,1.0746166695052957,0.971302997342387,0.9181153923390817,-0.1441728306247941,0.9182281239326524,-0.12354570941045764,0.0,1.0,0.0
2023-10-03,Ladkrabang,Train,1.0283733198342973,-1.142282415528066,0.6887987760661848,-0.09968415160445164,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.9961956780694367,1.0766197251374863,0.932553619101068,-0.09826798202308225,0.9530777730460005,-0.02874177813288824,0.0,1.0,0.0
2023-10-04,Ladkrabang,Train,0.7972812047230676,-0.4830160149575844,1.4502098368999379,-0.5261939706391251,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.8547400922515896,0.8071929506325478,0.9401973862103542,-0.08034660965681169,0.9963260910592406,0.11765067935209293,0.0,1.0,0.0
2023-10-05,Ladkrabang,Train,1.0575110213048435,-0.3095248569127208,1.2010207624452554,-1.0948737293520237,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.8175149380889982,0.9043297384047267,0.931326841663775,-0.08848326118273503,0.9933334619110024,0.11681671744306334,0.0,1.0,0.0
2023-10-06,Ladkrabang,Train,1.3368310560914602,-1.281075341963957,3.0560949833856723,-1.0000937695665408,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.503450445458348,1.4927741738035585,0.9784162217567886,-0.011213955550184491,1.0361956342276963,0.19330001307265912,0.0,1.0,0.0
2023-10-07,Ladkrabang,Train,-0.22856683670547798,-1.2116788787460113,1.560960536657575,-0.7157538902100907,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0789678795031862,0.1272354362272949,0.9475580508341129,-0.17585358058429074,0.9761499784146708,-0.0629761905625795,0.0,0.0,1.0
2023-10-08,Ladkrabang,Train,-0.8037852536671257,-0.8646965626562843,0.5365165638994343,-0.9053138097810562,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,-0.4297758940522287,-0.4509840741428863,0.8934854760980466,0.13810633193433092,0.9276886934980487,0.2049739980106809,0.0,0.0,1.0
2023-10-09,Ladkrabang,Train,1.1439193773899121,-0.2748266253037481,0.19042062715681912,-0.6209739304246079,0.0,1.0,-0.8660254037844386,0.5000000000000001,1.1505559839969821,1.155862894109527,0.8280888019408148,0.7007871332388088,0.8815442827607081,0.6130977762153154,0.0,1.0,0.0
2023-10-10,Ladkrabang,Train,1.092174838571528,-0.656507173002448,0.5503604013691388,-1.0000937695665408,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,1.0363988445650354,1.3056580457792557,0.8280888019408148,0.7007871332388088,0.8530660376403827,0.5336055013094635,0.0,1.0,0.0
2023-10-11,Ladkrabang,Train,1.040430299753144,-1.281075341963957,0.8826125006420493,-0.8579238298883157,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.8080845657011418,0.7913443168381397,0.840073473828215,0.7339259156104804,0.813196494471927,0.37930821620268107,0.0,1.0,0.0
2023-10-12,Ladkrabang,Train,1.7216496651679862,-0.656507173002448,0.19042062715681912,-0.3366340510681578,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,1.0651862971174393,1.131323074040766,0.8857473414935831,0.8120786152039066,0.8279665673648418,0.4000492470615863,0.0,1.0,0.0
2023-10-13,Ladkrabang,Train,-0.36772447993550106,0.21094861722186992,0.16273295221741002,-0.09968415160445164,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,1.3411487733094498,1.1747790054125304,1.0105011701167586,1.3118962726475056,0.8964108920777594,0.7012684570475367,1.0,0.0,0.0
2023-10-14,Ladkrabang,Train,-0.2109837409904931,-0.41361955173963894,0.3842343517326836,0.04248578807377509,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,-0.20543229829901158,-0.1294101819918306,0.6903122589832985,1.5772456856537425,0.596568758709179,1.0662113419937511,0.0,0.0,1.0
2023-10-15,Ladkrabang,Train,-0.2808137496871473,-0.13603369886785724,1.4502098368999379,-0.28924407117541723,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,-0.7737363185145726,-0.6953597823276313,0.6936151213144718,1.5642427871957874,0.6051605004573454,1.036379153640509,0.0,0.0,1.0
2023-10-16,Ladkrabang,Train,1.0585157696314142,0.24564684883084262,-0.5848342711466386,-0.3366340510681578,0.0,1.0,-0.8660254037844386,0.5000000000000001,1.1505559839969821,1.0050452499369333,0.7918516837930845,0.9531456796189751,0.7004419510802651,0.4518380450288341,0.0,1.0,0.0
