Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,day_sin,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-09-02,Phayathai,Train,14009.0,-0.433883739117558,14293.0,14526.0,11644.57142857143,1885.2425889119975,12206.714285714286,1765.708895815448,1.0
2022-09-03,Phayathai,Train,10089.0,-0.9749279121818236,9976.0,10791.0,11604.0,1820.6987669573437,12293.714285714286,1908.2782566391634,0.0
2022-09-04,Phayathai,Train,9024.0,-0.7818314824680299,8447.0,9095.0,11620.142857142857,1804.2856784677422,12324.714285714286,1881.3709287188613,0.0
2022-09-05,Phayathai,Train,12242.0,0.0,12164.0,12577.0,11702.57142857143,1640.9469681805517,12398.142857142857,1738.9482864240213,1.0
2022-09-06,Phayathai,Train,12812.0,0.7818314824680298,11995.0,12328.0,11713.714285714286,1644.8626806196407,12414.857142857143,1741.5143246201105,1.0
2022-09-07,Phayathai,Train,12223.0,0.9749279121818236,12295.0,12978.0,11830.42857142857,1696.3290617431153,12444.0,1741.5254807208237,1.0
2022-09-08,Phayathai,Train,13794.0,0.43388373911755823,12342.0,13152.0,11820.142857142857,1693.2581441874522,12462.857142857143,1748.9700234300867,1.0
2022-09-09,Phayathai,Train,13793.0,-0.433883739117558,14009.0,15135.0,12027.57142857143,1849.5643502496139,12656.0,1905.4130785737484,1.0
2022-09-10,Phayathai,Train,10856.0,-0.9749279121818236,10089.0,11008.0,11996.714285714286,1812.4267078777457,12559.142857142857,1770.8794828720092,0.0
2022-09-11,Phayathai,Train,8325.0,-0.7818314824680299,9024.0,9609.0,12106.285714285714,1697.4077013970143,12543.57142857143,1787.1960214390338,0.0
2022-09-12,Phayathai,Train,12342.0,0.0,12242.0,12694.0,12006.42857142857,1915.5066220317826,12451.285714285714,1971.191831886266,1.0
2022-09-13,Phayathai,Train,12408.0,0.7818314824680298,12812.0,12532.0,12020.714285714286,1917.9276762768097,12423.857142857143,1968.5857384233243,1.0
2022-09-14,Phayathai,Train,12219.0,0.9749279121818236,12223.0,13110.0,11963.0,1896.1021421150615,12407.142857142857,1968.011130436946,1.0
2022-09-15,Phayathai,Train,11748.0,0.43388373911755823,13794.0,14504.0,11962.42857142857,1896.0113270708443,12273.57142857143,1943.9392872157432,1.0
2022-09-16,Phayathai,Train,12990.0,-0.433883739117558,13793.0,14457.0,11670.142857142857,1715.7341896470446,12003.57142857143,1698.2431958882858,1.0
2022-09-17,Phayathai,Train,9230.0,-0.9749279121818236,10856.0,10899.0,11555.42857142857,1570.8727783351128,11892.0,1527.2386846855043,0.0
2022-09-18,Phayathai,Train,8456.0,-0.7818314824680299,8325.0,8963.0,11323.142857142857,1795.6692743534747,11799.857142857143,1614.1205478083273,0.0
