Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-08-03,Huamak,Train,0.1467790151685759,-0.22252093395631434,0.17408914964070452,-0.14243440188818327,-0.9769382510458934,-0.0884287035387076,1.0
2022-08-04,Huamak,Train,-0.1908653587955652,-0.900968867902419,-1.468305870068384,-0.3577314105868115,-0.999686717373211,-0.2083024591407362,1.0
2022-08-05,Huamak,Train,0.3008497489192034,-0.9009688679024191,-0.8546135009848845,-0.7195686849220834,-0.7397596390536905,-0.5890618211687433,1.0
2022-08-06,Huamak,Train,-1.3709816173110099,-0.2225209339563146,-1.1068874674025957,-0.6146954928816876,-0.5467854332202519,-0.5097419345755886,0.0
2022-08-07,Huamak,Train,-0.45721104214106495,0.6234898018587334,-1.3408617678625454,-0.7181613108479371,-0.5173158291144088,-0.675607366933471,0.0
2022-08-08,Huamak,Train,1.926787705096038,1.0,0.08585861734435477,-0.530775734815758,-0.5272682831326102,-0.5970630771157726,1.0
2022-08-09,Huamak,Train,0.005820684290342217,0.6234898018587336,-0.16902958706732232,-0.5105011615672582,-0.48978501475237135,-0.470283538870395,1.0
2022-08-10,Huamak,Train,0.026308813778457573,-0.22252093395631434,-0.038971246867517864,-0.3636298421556444,-0.43019954329274956,-0.31499050001959517,1.0
2022-08-11,Huamak,Train,0.1017051302947221,-0.900968867902419,-0.09321668524231068,-0.20970009440304554,-0.38961421132242136,-0.2031646227449832,1.0
2022-08-12,Huamak,Train,-2.228204955093757,-0.9009688679024191,0.1303006632417754,-0.07891405541527995,-0.3028856834495237,-0.02164899367185605,0.0
2022-08-13,Huamak,Train,0.2451220367115296,-0.2225209339563146,-1.0101606616258567,0.6135657116653184,-0.6150308322022048,0.7093344837901125,0.0
2022-08-14,Huamak,Train,-0.27445692710707587,0.6234898018587334,-1.4604631560864862,0.8866376412086261,-0.6722897559692597,0.9278568945483673,0.0
2022-08-15,Huamak,Train,2.3873608559888715,1.0,0.11592235427496284,1.042088103838862,-0.7007253388784068,1.0710388427995177,1.0
2022-08-16,Huamak,Train,-0.09006376171403765,0.6234898018587336,0.14729321020255387,1.1581030632136353,-0.6565209327196422,1.2428962225848403,1.0
2022-08-17,Huamak,Train,-0.048267977558282334,-0.22252093395631434,0.2453271349762758,1.2462701445997633,-0.6274390865625599,1.3444719731459265,1.0
2022-08-18,Huamak,Train,0.06400697203658984,-0.900968867902419,0.22245255252907403,1.275616921192287,-0.6101192315178974,1.4020194880372925,1.0
2022-08-19,Huamak,Train,0.04597741808704832,-0.9009688679024191,-1.534968938914515,1.3319955356572177,-0.5987449983542388,1.442621373151694,1.0
2022-08-20,Huamak,Train,-1.6971526387618066,-0.2225209339563146,-1.3800753377720343,0.998190375903256,-0.22869466258656757,0.9391846515612428,0.0
2022-08-21,Huamak,Train,-0.6137403514302663,0.6234898018587334,-1.614049638231984,0.5403597301582932,-0.16497310634016085,0.5844437585100024,0.0
2022-08-22,Huamak,Train,2.1931333884415376,1.0,0.2786586693993413,0.42014929529932954,-0.154762147022785,0.5020750096063142,1.0
2022-08-23,Huamak,Train,0.09269035331995135,0.6234898018587336,0.2747373124083924,0.4137942135775562,-0.1751840656575359,0.4474173519758036,1.0
2022-08-24,Huamak,Train,-0.04990702791733156,-0.22252093395631434,0.28584782388274754,0.4811646730449533,-0.1667826434343793,0.4703532874545546,1.0
2022-08-25,Huamak,Train,-0.06875610704639769,-0.900968867902419,0.30218681134503456,0.5322703268719257,-0.15863972651039632,0.49038268458103107,1.0
2022-08-26,Huamak,Train,0.41804184959122326,-0.9009688679024191,0.5263577193276121,0.5494336197336274,-0.1714357388195122,0.45873653617838756,1.0
2022-08-27,Huamak,Train,-1.8594186243076802,-0.2225209339563146,-0.9454582712752002,0.520225842565904,-0.12555104821611632,0.6174632952742174,0.0
2022-08-28,Huamak,Train,-0.665370437740317,0.6234898018587334,-1.5401974149024469,0.4696311069942718,-0.10525838223095224,0.5174565906931804,0.0
2022-08-29,Huamak,Train,2.1808405107486686,1.0,0.2642803604325287,0.18901505505375438,-0.09310863316977115,0.4185994780649392,1.0
2022-08-30,Huamak,Train,0.118915159064739,0.6234898018587336,0.4074098906021628,0.26384488885277135,-0.0828976738523953,0.44123604366535873,1.0
2022-08-31,Huamak,Train,-0.03105794878826543,-0.22252093395631434,0.39237802213685874,0.30593653194827547,-0.06855062974823536,0.4794245005410666,1.0
