Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-12-07,Ladkrabang,Train,9477.0,78.0,1.2,31.7,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,9530.0,9432.0,8645.0,1715.2188392933137,8570.42857142857,1714.3618693402086,0.0,0.0,1.0,0.0
2022-12-08,Ladkrabang,Train,9760.0,96.0,0.1,32.2,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,9569.0,9417.0,8640.42857142857,1712.5075043283719,8576.857142857143,1718.2111267799748,0.0,0.0,1.0,0.0
2022-12-09,Ladkrabang,Train,11006.0,89.0,0.0,31.6,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,10611.0,10433.0,8639.42857142857,1711.8768313504106,8625.857142857143,1750.7463578496586,0.0,0.0,1.0,0.0
2022-12-10,Ladkrabang,Train,12194.0,79.0,0.2,31.8,1,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,7815.0,7812.0,8592.857142857143,1652.7130652930991,8707.714285714286,1859.3496815003018,0.0,1.0,0.0,0.0
2022-12-11,Ladkrabang,Train,11214.0,74.0,0.0,32.6,1,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,6970.0,7185.0,9077.142857142857,1869.2807376610192,9333.714285714286,2211.780558304842,0.0,0.0,0.0,1.0
2022-12-12,Ladkrabang,Train,6587.0,87.0,0.0,32.2,1,0.0,1.0,-2.4492935982947064e-16,1.0,6029.0,5713.0,9677.57142857143,1750.9153660436252,9909.285714285714,2079.7180669733298,1.0,0.0,0.0,0.0
2022-12-13,Ladkrabang,Train,9576.0,85.0,0.0,29.5,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,9991.0,10001.0,9838.0,1371.1615513862935,10034.142857142857,1792.1591659756455,0.0,0.0,1.0,0.0
2022-12-14,Ladkrabang,Train,9344.0,101.0,0.0,28.8,0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,9498.0,9477.0,9806.0,1369.6087032433998,9973.42857142857,1800.6480182740686,0.0,0.0,1.0,0.0
2022-12-15,Ladkrabang,Train,9374.0,109.0,0.0,30.2,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,9562.0,9760.0,9796.57142857143,1372.3069211056077,9954.42857142857,1807.4480958101299,0.0,0.0,1.0,0.0
2022-12-16,Ladkrabang,Train,9916.0,138.0,0.0,31.2,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,10285.0,11006.0,9792.0,1373.2715196445067,9899.285714285714,1820.211591572607,0.0,0.0,1.0,0.0
2022-12-17,Ladkrabang,Train,8836.0,110.0,0.1,31.9,0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,11205.0,12194.0,9721.857142857143,1356.3285526955508,9743.57142857143,1755.2186812610169,0.0,0.0,0.0,1.0
2022-12-18,Ladkrabang,Train,8620.0,76.0,0.0,26.9,0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,11173.0,11214.0,9392.42857142857,1207.992943845704,9263.857142857143,1396.003871600595,0.0,0.0,0.0,1.0
2022-12-19,Ladkrabang,Train,9091.0,91.0,0.0,27.3,0,0.0,1.0,-2.4492935982947064e-16,1.0,7152.0,6587.0,9030.285714285714,934.1821225517481,8893.285714285714,1106.2845797662605,0.0,0.0,1.0,0.0
2022-12-20,Ladkrabang,Train,8922.0,103.0,0.0,29.3,0,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,9767.0,9576.0,9313.42857142857,439.2773828091713,9251.0,441.1375446880189,0.0,0.0,1.0,0.0
