Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-01-25,Banthapchang,Train,3625.0,-118.0,74.0,0,0.9749279121818236,-0.22252093395631434,3712.0,3645.0,3095.4285714285716,1028.5696957657335,3044.0,1024.6872693656362,1.0
2023-01-26,Banthapchang,Train,3584.0,-41.0,117.0,0,0.43388373911755823,-0.900968867902419,3671.0,3556.0,3099.714285714286,1031.6248856836962,3041.1428571428573,1022.7582686981709,1.0
2023-01-27,Banthapchang,Train,3574.0,-10.0,121.0,0,-0.433883739117558,-0.9009688679024191,3702.0,3640.0,3091.8571428571427,1026.7465491495313,3045.1428571428573,1025.1594068845163,1.0
2023-01-28,Banthapchang,Train,1900.0,-1674.0,79.0,0,-0.9749279121818236,-0.2225209339563146,1736.0,1701.0,3092.714285714286,1027.3431290284175,3035.714285714286,1019.0619402643011,0.0
2023-01-29,Banthapchang,Train,1524.0,-376.0,96.0,0,-0.7818314824680299,0.6234898018587334,1455.0,1402.0,3119.8571428571427,987.2516444776398,3064.1428571428573,977.5522882130042,0.0
2023-01-30,Banthapchang,Train,3617.0,2093.0,116.0,0,0.0,1.0,3633.0,3621.0,3126.714285714286,973.8363507772918,3081.5714285714284,943.4728148605856,1.0
2023-01-31,Banthapchang,Train,3825.0,208.0,167.0,0,0.7818314824680298,0.6234898018587336,3759.0,3743.0,3132.8571428571427,977.6902080194611,3081.0,943.0927844067116,1.0
2023-02-01,Banthapchang,Train,3851.0,26.0,182.0,0,0.9749279121818236,-0.22252093395631434,3742.0,3625.0,3142.4285714285716,985.1412516559642,3092.714285714286,953.1417722958336,1.0
2023-02-02,Banthapchang,Train,3419.0,-432.0,174.0,0,0.43388373911755823,-0.900968867902419,3616.0,3584.0,3164.8571428571427,1002.6974333552155,3125.0,977.6884302612316,1.0
2023-02-03,Banthapchang,Train,3674.0,255.0,121.0,0,-0.433883739117558,-0.9009688679024191,3708.0,3574.0,3174.4285714285716,1008.0272577569251,3101.4285714285716,966.7052044863298,1.0
2023-02-04,Banthapchang,Train,1996.0,-1678.0,87.0,0,-0.9749279121818236,-0.2225209339563146,1926.0,1900.0,3179.1428571428573,1011.0112806115485,3115.714285714286,975.5510774746288,0.0
2023-02-05,Banthapchang,Train,1591.0,-405.0,77.0,0,-0.7818314824680299,0.6234898018587334,1503.0,1524.0,3193.8571428571427,990.2700689831048,3129.4285714285716,956.092892478353,0.0
2023-02-06,Banthapchang,Train,3646.0,2055.0,74.0,0,0.0,1.0,3676.0,3617.0,3201.1428571428573,975.8390284897417,3139.0,937.4968444391362,1.0
2023-02-07,Banthapchang,Train,3635.0,-11.0,67.0,0,0.7818314824680298,0.6234898018587336,3826.0,3825.0,3205.8571428571427,978.591237199579,3143.1428571428573,940.021884243738,1.0
2023-02-08,Banthapchang,Train,3777.0,142.0,67.0,0,0.9749279121818236,-0.22252093395631434,3899.0,3851.0,3204.5714285714284,977.6461284027804,3116.0,919.5727268683019,1.0
2023-02-09,Banthapchang,Train,3645.0,-132.0,75.0,0,0.43388373911755823,-0.900968867902419,3683.0,3419.0,3203.4285714285716,976.7032741392236,3105.4285714285716,910.0913611908917,1.0
