Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2024-09-01,Makkasan,Test,-0.6341643632420548,-1.1411863790599057,0.5762910198029373,0,-0.7818314824680299,0.6234898018587334,-0.4891630217122355,-0.5459796959837835,1.1569826205690223,0.9339109641005003,1.135335655520793,0.6671352657348866,0.0
2024-09-02,Makkasan,Test,2.313702855977106,-1.0024205365804848,-0.6424361838640537,0,0.0,1.0,1.3961366198174068,1.2292742420879665,1.1751267167750092,0.8069168382901144,1.1327147242442022,0.6884297679973741,1.0
2024-09-03,Makkasan,Test,0.028122868464821083,-0.8983461547209189,-1.204925662479588,0,0.7818314824680298,0.6234898018587336,1.4100016659033023,1.241022246089912,1.1858935430950452,0.8379304782284301,1.1471922493910844,0.7222783050175272,1.0
2024-09-04,Makkasan,Test,0.03339198352736049,-0.7942717728613532,-0.8768067999538598,0,0.9749279121818236,-0.22252093395631434,1.3153727263670654,1.2654972544272982,1.1917421894911147,0.8545260066596788,1.1641034964376589,0.762102474059346,1.0
2024-09-05,Makkasan,Test,-0.03591714537219629,-0.6901973910017875,-0.22056907490240163,0,0.43388373911755823,-0.900968867902419,1.2938819049339274,1.279529592540733,1.199717616394845,0.8730713298784206,1.1818259841174636,0.8048159598967947,1.0
2024-09-06,Makkasan,Test,0.25185760035110966,-0.482048627282656,0.15442391084128687,0,-0.433883739117558,-0.9009688679024191,1.4581827010517892,1.5735560260338668,1.1905458754555547,0.8549515083122967,1.1916856779674951,0.8274784733023467,1.0
2024-09-07,Makkasan,Test,-2.333656629182649,-0.482048627282656,-0.12682082846648116,0,-0.9749279121818236,-0.2225209339563146,-0.29505237650969834,-0.05093186067958405,1.1818393677523154,0.8296583035341739,1.1844469153940544,0.8007723406596787,0.0
2024-09-08,Makkasan,Test,-0.5466159898952462,-1.0024205365804848,-0.5018138142101697,0,-0.7818314824680299,0.6234898018587334,-0.39453408217599867,-0.5596857006527198,1.1769211878283488,0.8610199037331464,1.128908133580582,1.122227976687375,0.0
2024-09-09,Makkasan,Test,2.432055286612606,-1.03711199720034,-0.3143173213383254,0,0.0,1.0,1.4522900564652836,1.3049836012116147,1.1158427101239452,1.2993982985263006,1.086848426903863,1.4431190598360095,1.0
2024-09-10,Makkasan,Test,-1.761349670082215,-0.8983461547209189,-0.3143173213383254,0,0.7818314824680298,0.6234898018587336,1.4405047672922724,1.329458609549001,1.0756332661509707,1.1964652529687554,1.0630104329120138,1.3923251295697385,1.0
